id,model,user_id,currency,amount,date,type,is_debit,description,__typename
7702eccc-d88b-4d7f-939c-900a85ae713b,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1100,2024-02-28 19:32:32.587000+00:00,CARD_SETTLEMENT,,CRV*Collection PotUnit,transactions_view
5461dbba-964a-479c-aa9f-4eec5d1451ec,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-899,2024-02-28 19:16:59.972000+00:00,CARD_SETTLEMENT,,CRV*AMAZONCOUK5 Rue Pl,transactions_view
56df8fd8-5d9a-4029-bb16-878b162591c4,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-899,2024-02-28 19:16:42.671000+00:00,CARD_SETTLEMENT,,CRV*Amazoncouk60 Holbo,transactions_view
2275bf4a-a80e-4094-ac61-619b7fd9f760,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-388,2024-02-28 19:16:26.273000+00:00,CARD_SETTLEMENT,,CRV*AMZNMKTPLACE1 PRIN,transactions_view
a9753f41-2851-4ee3-979e-a27813573bdd,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-939,2024-02-28 19:14:08.633000+00:00,CARD_SETTLEMENT,,CRV*MCDONALDSWATFORD G,transactions_view
34a95926-898b-4fea-9311-17670a2f250c,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,3000,2024-02-28 06:11:34.200000+00:00,CARD_REFUND,,,transactions_view
acd05f00-fc64-4fd8-844c-61ce01a98f54,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1799,2024-02-24 22:03:04.493000+00:00,CARD_SETTLEMENT,,CRV*Spotify P28D9A672F,transactions_view
1ddabdd2-4f02-4d12-9676-623f80dc0ca4,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1846,2024-02-24 22:02:28.956000+00:00,CARD_SETTLEMENT,,CRV*eBay O*22 11059 84,transactions_view
ee846995-264e-4625-bdd4-3dae4193b057,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1799,2024-02-23 23:38:04.965000+00:00,CARD_SETTLEMENT,,CURVE SUBSCRIPTION,transactions_view
5a4cac1f-f669-4928-b8ee-6058a372a4bd,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,1500,2024-02-23 05:57:59.343000+00:00,CARD_REFUND,,,transactions_view
